irradiance_Wm2;pv_power_kW;sky_state;inclinacion_°;temperatura_ambiental_°C;generacion_W
0;0;cloudy;45;30;0
0;0;cloudy;45;20;0
0;0;cloudy;20;30;0
0;0;cloudy;20;30;0
0;0;cloudy;45;30;0
177,5;6,888;cloudy;45;30;29,74545
190,9;6,015;cloudy;45;30;31,991022
83,8;4,524;cloudy;20;30;14,78232
256,1;8,776;cloudy;20;30;45,17604
356,1;12,979;cloudy;20;10;67,94388
521,6;20,5;cloudy;45;20;90,977472
590;25,78;cloudy;45;10;106,9434
527,5;18,955;cloudy;20;20;96,849
743,9;28,282;cloudy;45;30;124,662762
492,3;19,805;cloudy;45;20;85,866966
599,6;21,936;cloudy;45;30;100,480968
472,2;18,391;cloudy;20;10;90,09576
391,8;16,006;cloudy;20;10;74,75544
312,9;12,917;cloudy;45;10;56,716254
164,6;5,59;cloudy;45;20;28,709532
100,4;6,083;cloudy;20;20;18,43344
200,3;5,138;cloudy;20;20;36,77508
68,4;3,495;cloudy;20;30;12,06576
121,3;4,118;cloudy;20;10;23,14404
0;0;clear;20;20;0
0;0;clear;20;20;0
0;0;clear;45;30;0
47,4;2,848;clear;45;10;8,591724
79,8;3,99;clear;45;10;14,464548
143,7;4,505;clear;20;20;26,38332
185,2;5,29;clear;45;20;32,302584
287,3;11,009;clear;20;20;52,74828
448,8;18,166;clear;45;10;81,349488
549,1;20,882;clear;45;20;95,774022
636,2;22,349;clear;45;20;110,966004
835,3;30,593;clear;20;30;147,34692
956,5;36,05;clear;20;10;182,5002
896,9;34;clear;45;20;156,437298
894,6;35,48;clear;20;30;157,80744
850,7;32,895;clear;45;10;154,197882
651,3;25,022;clear;20;20;119,57868
579,8;22,208;clear;45;20;101,128716
407,5;14,053;clear;45;10;73,86345
311,1;13,939;clear;20;30;54,87804
212,7;10,329;clear;45;30;35,644266
104,7;2,613;clear;45;30;17,545626
20,1;1,721;clear;20;10;3,83508
0;0;clear;45;10;0
0;0;clear;20;30;0
0;0;clear;20;20;0
39,6;0,029;clear;20;10;7,55568
48,2;0,624;clear;45;30;8,077356
47,3;1,597;clear;20;10;9,02484
133,1;4,853;clear;45;20;23,215302
125,9;4,087;clear;45;30;21,098322
366,7;14,221;clear;45;20;63,959814
404,3;13,685;clear;45;20;70,518006
517,8;22,998;clear;45;30;86,772924
717;26,072;clear;20;30;126,4788
825,4;31,335;clear;45;20;143,966268
858,2;33,494;clear;20;10;163,74456
863,5;31,112;clear;20;30;152,3214
947,1;36,468;clear;45;20;165,193182
817,3;33,222;clear;45;20;142,553466
671;27,324;clear;45;30;112,44618
611,9;23,682;clear;45;30;102,542202
371,1;16,67;clear;20;30;65,46204
279,6;10,12;clear;45;10;50,680296
146,8;4,274;clear;45;10;26,608968
105,7;4,037;clear;20;30;18,64548
86,4;5,417;clear;45;30;14,478912
65,7;0;clear;20;30;11,58948
0;0;clear;20;10;0
0;0;clear;20;20;0
56,2;0,158;clear;45;20;9,802404
18,7;0,225;clear;45;30;3,133746
92,4;5,541;clear;20;10;17,62992
88,9;3,066;clear;45;30;14,897862
195,4;5,848;clear;45;10;35,418204
290,8;14,901;clear;45;20;50,721336
374,2;13,881;clear;45;30;62,708436
492,2;19,299;clear;45;10;89,216172
632,1;23,196;clear;45;20;110,250882
747,5;26,999;clear;45;10;135,49185
803,1;30,579;clear;20;10;153,23148
807,4;34,076;clear;45;30;135,304092
799;33,318;clear;45;20;139,36158
703,4;26,351;clear;45;10;127,498284
720,9;26,096;clear;20;20;132,35724
558,1;22;clear;45;20;97,343802
393,6;12,992;clear;20;30;69,43104
271,8;10,746;clear;20;30;47,94552
208,5;9,494;clear;20;10;39,7818
130,9;5,085;clear;20;30;23,09076
40,1;2,007;clear;45;10;7,268526
121,9;7,023;clear;45;10;22,095594
0;0;clear;45;30;0
0;0;clear;20;10;0
39,2;0;clear;20;30;6,91488
57,5;0,534;clear;20;20;10,557
78,8;3,093;clear;20;10;15,03504
112,7;3,932;clear;20;20;20,69172
247,5;5,618;clear;20;30;43,659
288,1;11,463;clear;45;20;50,250402
325,5;12,942;clear;20;10;62,1054
477,4;19,556;clear;45;10;86,533524
651,8;23,354;clear;20;20;119,67048
817,7;32,151;clear;45;30;137,030166
894,2;34,862;clear;20;30;157,73688
886,8;35,163;clear;45;10;160,741368
846,2;31,32;clear;20;10;161,45496
715,4;28,537;clear;45;10;129,673404
704,3;28,067;clear;45;20;122,844006
544,6;18,473;clear;20;20;99,98856
351,6;12,672;clear;45;10;63,731016
299,8;10,421;clear;45;20;52,291116
193,5;5,578;clear;45;20;33,75027
132,1;6,787;clear;45;20;23,040882
0;0;clear;45;10;0
40,7;2,178;clear;45;20;7,098894
0;0;clear;20;30;0
0;0;clear;20;10;0
76,7;3,486;clear;45;30;12,853386
14;1,758;clear;20;30;2,4696
76,3;3,271;clear;45;20;13,308246
76,8;2,718;clear;20;30;13,54752
191,5;8,826;clear;45;20;33,40143
255,2;11,982;clear;20;30;45,01728
337;13,195;clear;20;20;61,8732
501,5;21,176;clear;20;20;92,0754
655,7;25,911;clear;45;10;118,852182
723,5;24,667;clear;20;30;127,6254
777,8;29,914;clear;45;10;140,984028
753,3;26,935;clear;20;10;143,72964
764,4;29,897;clear;45;20;133,326648
730,1;25,807;clear;45;10;132,337926
632,5;23,485;clear;20;10;120,681
521,1;20,138;clear;20;10;99,42588
379;15,292;clear;20;20;69,5844
261,7;10,306;clear;45;20;45,645714
157,9;6,821;clear;45;30;26,460882
106,7;5,324;clear;20;30;18,82188
16,9;0;clear;45;30;2,832102
11,5;1,564;clear;45;20;2,00583
0;0;cloudy;20;10;0
0;0;cloudy;20;30;0
177,4;6,923;cloudy;45;10;32,155524
0;0;cloudy;45;30;0
0;0;cloudy;45;20;0
184,7;9,645;cloudy;45;30;30,952026
185,2;5,522;cloudy;20;10;35,33616
199,8;4,895;cloudy;20;20;36,68328
233;8,111;cloudy;20;20;42,7788
315,2;12,698;cloudy;20;10;60,14016
535,2;21,013;cloudy;45;20;93,349584
544,2;18,6;cloudy;45;10;98,641692
600;24,621;cloudy;45;20;104,652
642,2;25,086;cloudy;45;20;112,012524
882,8;33,873;cloudy;45;10;160,016328
709,2;25,857;cloudy;20;20;130,20912
492;19,288;cloudy;20;30;86,7888
212,5;5,017;cloudy;45;20;37,06425
251,4;9,178;cloudy;45;10;45,568764
338,6;11,51;cloudy;45;10;61,374636
92,4;3,106;cloudy;45;30;15,484392
162,9;5,723;cloudy;45;20;28,413018
0;0;cloudy;20;20;0
340,6;13,363;cloudy;45;10;61,737156
0;0;cloudy;45;10;0
0;0;cloudy;45;10;0
0;0;cloudy;45;30;0
0;0;cloudy;20;10;0
183,2;7,558;cloudy;20;30;32,31648
142,3;4,98;cloudy;45;20;24,819966
0;0;cloudy;20;20;0
0;0;cloudy;20;20;0
456;18,784;cloudy;20;10;87,0048
212,6;3,685;cloudy;45;20;37,081692
781,3;30,539;cloudy;45;20;136,274346
630,6;21,78;cloudy;45;20;109,989252
644,9;24,538;cloudy;20;30;113,76036
695;27,586;cloudy;20;20;127,602
742,6;30,849;cloudy;45;10;134,603676
473,8;20,126;cloudy;45;30;79,399404
662,8;24,686;cloudy;20;30;116,91792
405;15,88;cloudy;20;10;77,274
248,6;8,096;cloudy;20;20;45,64296
268,3;7,913;cloudy;20;20;49,25988
74,7;4,581;cloudy;20;30;13,17708
0;0;cloudy;45;10;0
0;0;cloudy;20;20;0
7;0;cloudy;45;20;1,22094
0;0;cloudy;20;20;0
0;0;cloudy;20;10;0
61,6;3,189;cloudy;45;10;11,165616
273,4;10,327;cloudy;45;20;47,686428
0;0;cloudy;45;20;0
0;0;cloudy;20;10;0
131,1;5,516;cloudy;20;10;25,01388
122;6,017;cloudy;45;30;20,44476
285,6;9,947;cloudy;20;10;54,49248
424,5;14,064;cloudy;45;10;76,94487
527,9;18,843;cloudy;45;10;95,687154
406,9;17,569;cloudy;20;20;74,70684
610;23,878;cloudy;20;10;116,388
519,1;19,414;cloudy;20;10;99,04428
725,7;30,754;cloudy;45;30;121,612806
484,5;18,886;cloudy;45;20;84,50649
342,6;13,476;cloudy;45;10;62,099676
191,9;5,418;cloudy;20;30;33,85116
240,8;10,431;cloudy;45;30;40,353264
0;0;cloudy;20;10;0
71,4;4,644;cloudy;20;10;13,62312
14,1;1,35;cloudy;20;20;2,58876
105;1,489;cloudy;20;10;20,034
0;0;cloudy;45;20;0
0;0;cloudy;45;10;0
0;0;cloudy;20;30;0
98,6;4,134;cloudy;20;20;18,10296
199,7;6,978;cloudy;45;20;34,831674
79,5;2,111;cloudy;20;10;15,1686
17,2;0,04;cloudy;45;10;3,117672
7,2;0;cloudy;20;10;1,37376
504,3;18,682;cloudy;45;10;91,409418
226,1;8,219;cloudy;20;20;41,51196
225,2;9,485;cloudy;45;30;37,739016
270,5;11,396;cloudy;20;10;51,6114
550,6;20,554;cloudy;45;10;99,801756
648,4;22,204;cloudy;45;10;117,528984
546,2;23,664;cloudy;20;30;96,34968
775,3;27,998;cloudy;45;10;140,530878
559,8;20,107;cloudy;45;20;97,640316
592,4;22,174;cloudy;20;10;113,02992
365,2;12,615;cloudy;45;10;66,196152
263,2;7,508;cloudy;45;30;44,107056
256,3;9,018;cloudy;20;20;47,05668
229,8;9,197;cloudy;20;30;40,53672
0;0;cloudy;20;20;0
88;6,94;cloudy;45;10;15,95088
72,2;2,513;cloudy;45;10;13,086972
0;0;clear;20;20;0
0;0;clear;45;10;0
1,6;1,248;clear;45;20;0,279072
24,2;0,29;clear;45;30;4,055436
64,4;3,892;clear;45;10;11,673144
85,2;2,086;clear;20;30;15,02928
151,5;4,423;clear;45;10;27,46089
343,7;12,779;clear;20;20;63,10332
414,4;17,425;clear;20;20;76,08384
517,8;20,643;clear;20;10;98,79624
722,7;27,622;clear;45;10;130,996602
778,5;29,758;clear;20;20;142,9326
